iter	Passed	Remaining
477	714	780
478	715	778
479	717	777
480	719	775
481	720	774
482	722	772
483	723	771
484	724	769
485	726	768
486	727	766
487	729	765
488	730	763
489	732	762
490	733	760
491	735	759
492	736	757
493	738	756
494	739	754
495	741	753
496	742	751
497	744	750
498	745	748
499	746	746
500	748	745
501	750	744
502	751	742
503	753	741
504	754	739
505	756	738
506	757	736
507	759	735
508	760	733
509	762	732
510	764	731
511	765	729
512	767	728
513	768	726
514	770	725
515	771	723
516	773	722
517	774	720
518	776	719
519	777	717
520	779	716
521	780	714
522	782	713
523	783	711
524	785	710
525	786	708
526	787	707
527	789	705
528	791	704
529	792	703
530	794	701
531	796	700
532	797	698
533	799	697
534	800	695
535	802	694
536	804	693
537	805	691
538	807	690
539	808	688
540	810	687
541	811	685
542	813	684
543	814	683
544	816	681
545	817	680
546	819	678
547	820	677
548	822	675
549	823	674
550	825	672
551	827	671
552	828	669
553	829	668
554	831	666
555	832	665
556	834	663
557	835	662
558	837	660
559	838	659
560	840	657
561	841	656
562	843	654
563	844	653
564	846	651
565	847	650
566	849	648
567	850	646
568	852	645
569	853	643
570	854	642
571	856	640
572	857	639
573	859	637
574	860	636
575	862	634
576	863	632
577	864	631
578	866	629
579	867	628
580	868	626
581	870	625
582	871	623
583	873	622
584	875	620
585	876	619
586	878	617
587	879	616
588	880	614
589	882	613
590	883	611
591	885	610
592	886	608
593	888	607
594	889	605
595	891	604
596	892	602
597	894	601
598	895	599
599	897	598
600	898	596
601	900	595
602	901	593
603	903	592
604	905	590
605	906	589
606	908	587
607	909	586
608	910	584
609	912	583
610	913	581
611	915	580
612	916	578
613	918	577
614	919	575
615	921	574
616	922	572
617	924	571
618	925	569
619	926	568
620	928	566
621	929	565
622	931	563
623	932	561
624	934	560
625	935	559
626	937	557
627	938	556
628	940	554
629	941	553
630	943	551
631	945	550
632	946	548
633	947	547
634	949	545
635	950	544
636	952	542
637	953	541
638	955	539
639	956	538
640	958	536
641	960	535
642	961	533
643	962	532
644	964	530
645	966	529
646	967	527
647	969	526
648	970	524
649	971	523
650	973	521
651	975	520
652	976	518
653	978	517
654	979	515
655	981	514
656	982	512
657	984	511
658	985	509
659	986	508
660	988	506
661	989	505
662	991	503
663	992	502
664	994	500
665	995	499
666	997	497
667	998	496
668	1000	494
669	1001	493
670	1003	491
671	1004	490
672	1006	489
673	1007	487
674	1009	486
675	1010	484
676	1012	483
677	1013	481
678	1015	480
679	1016	478
680	1018	476
681	1019	475
682	1021	473
683	1022	472
684	1024	470
685	1025	469
686	1027	468
687	1028	466
688	1030	465
689	1031	463
690	1033	462
691	1034	460
692	1036	459
693	1037	457
694	1039	456
695	1040	454
696	1042	453
697	1044	451
698	1045	450
699	1047	448
700	1048	447
701	1050	445
702	1051	444
703	1053	442
704	1054	441
705	1056	439
706	1057	438
707	1059	437
708	1061	435
709	1062	434
710	1064	432
711	1065	431
712	1067	429
713	1068	428
714	1070	426
715	1072	425
716	1073	423
717	1075	422
